latitud,longitud,fecha,temperatura,salinidad,productividad,presencia
20,-105.599975585938,18624,26.251,34.137,3100.4976,0
20.7999992370605,-106.400024414063,20064,26.332,34.594,1291.7515,0
20,-108.799987792969,20784,26.855,34.787003,444.82214,0
20,-108,20784,28.357,34.639,513.92236,0
20,-107.200012207031,20784,28.565,34.764,427.25827,0
20,-106.400024414063,20784,28.380001,34.696,497.20468,0
20,-105.599975585938,20784,26.908,34.542,1103.7308,0
20.7999992370605,-108.799987792969,20784,27.059,34.903,465.95795,0
20.7999992370605,-108,20784,28.277,34.876,663.44965,0
20.7999992370605,-107.200012207031,20784,28.187,34.767002,495.93774,0
20.7999992370605,-106.400024414063,20784,28.799,34.713,648.3762,0
20.7999992370605,-105.599975585938,20784,27.715,34.514,1218.9263,0
21.6000003814697,-108,20784,27.652,34.896,510.7891,0
21.6000003814697,-107.200012207031,20784,28.692001,34.798,646.7908,0
21.6000003814697,-106.400024414063,20784,29.011002,34.721,577.7254,0
21.6000003814697,-105.599975585938,20784,28.02,34.46,1335.5111,0
22.3999996185303,-108,20784,26.279,34.751,621.3137,0
22.3999996185303,-107.200012207031,20784,27.894001,34.934002,594.9234,0
22.3999996185303,-106.400024414063,20784,28.965,34.714,857.65656,0
23.2000007629395,-108,20784,26.137001,35.022,577.79987,0
23.2000007629395,-107.200012207031,20784,27.367,34.965,546.2873,0
24,-109.599975585938,20784,26.19,35.141,696.62885,0
24,-108.799987792969,20784,26.319,35.047,633.48676,0
24,-108,20784,26.592001,34.973,723.02936,0
24,-107.200012207031,20784,26.554,34.842003,1085.0492,0
24.7999992370605,-108.799987792969,20784,26.854,34.956,690.6065,0
20,-108,21504,26.01,34.677002,389.41748,0
20,-107.200012207031,21504,26.911,34.724,438.6077,0
20,-106.400024414063,21504,26.967001,34.601,434.18958,0
20.7999992370605,-107.200012207031,21504,26.541,34.82,495.1074,0
20.7999992370605,-106.400024414063,21504,28.414001,34.597,719.6982,0
20.7999992370605,-105.599975585938,21504,26.996,34.587,1115.0138,0
21.6000003814697,-108,21504,26.039001,35.029,552.2341,0
21.6000003814697,-107.200012207031,21504,27.23,34.817,617.63104,0
21.6000003814697,-106.400024414063,21504,27.77,34.72,728.7488,0
21.6000003814697,-105.599975585938,21504,29.441,34.416,1581.733,0
22.3999996185303,-108,21504,26.109001,34.973,659.289,0
22.3999996185303,-107.200012207031,21504,27.372,34.875,487.8422,0
22.3999996185303,-106.400024414063,21504,27.682,34.703003,610.2692,0
23.2000007629395,-108,21504,26.551,34.907,684.14685,0
23.2000007629395,-107.200012207031,21504,27.225,34.738,521.9931,0
24,-109.599975585938,21504,26.857,35.202,701.6624,0
24,-108.799987792969,21504,26.435001,34.985,556.6698,0
24,-108,21504,26.837,34.783,540.01575,0
24,-107.200012207031,21504,27.86,34.825,1533.7083,0
24.7999992370605,-110.400024414063,21504,26.575,35.23,1480.6198,0
24.7999992370605,-109.599975585938,21504,27.975,35.190002,608.41626,0
24.7999992370605,-108.799987792969,21504,28.529,34.968002,583.5186,0
25.6000003814697,-109.599975585938,21504,27.211,34.952,682.2266,0
26.3999996185303,-109.599975585938,21504,26.249,35.084,854.39105,0
27.2000007629395,-112,21504,26.773,35.154,1442.7645,0
27.2000007629395,-111.200012207031,21504,26.418,35.307,648.76196,0
28,-112,21504,27.556,35.098,1069.3497,0
30.3999996185303,-114.400024414063,21504,26.273,35.626,1544.4019,0
20,-114.400024414063,22224,26.124,34.403,309.1024,0
20,-113.599975585938,22224,26.863,34.477,311.14188,0
20,-112.799987792969,22224,26.952,34.493,304.50186,0
20,-112,22224,26.353,34.52,299.6393,0
20,-111.200012207031,22224,27.234001,34.559002,293.88858,0
20,-110.400024414063,22224,27.587,34.626,318.65958,0
20,-109.599975585938,22224,29.367,34.705,320.8844,0
20,-108.799987792969,22224,30.633,34.686,331.12576,0
20,-108,22224,30.598,34.708,305.94327,0
20,-107.200012207031,22224,30.837002,34.809002,314.69687,0
20,-106.400024414063,22224,31.089,34.619,335.55344,0
20,-105.599975585938,22224,30.397,34.313,466.1488,0
20.7999992370605,-112,22224,26.529,34.545002,351.60745,0
20.7999992370605,-111.200012207031,22224,26.779,34.544,336.46402,0
20.7999992370605,-110.400024414063,22224,28.151001,34.607002,349.45312,0
20.7999992370605,-109.599975585938,22224,28.841,34.694,372.05862,0
20.7999992370605,-108.799987792969,22224,30.205002,34.782,469.53314,0
20.7999992370605,-108,22224,30.351002,34.846,372.40607,0
20.7999992370605,-107.200012207031,22224,30.76,34.865,341.28418,0
20.7999992370605,-106.400024414063,22224,30.902,34.687,339.6522,0
20.7999992370605,-105.599975585938,22224,28.685001,34.616,642.84247,0
21.6000003814697,-112,22224,26.313,34.501,327.91772,0
21.6000003814697,-111.200012207031,22224,26.259,34.397,398.62268,0
21.6000003814697,-110.400024414063,22224,27.019001,35.282,907.5258,0
21.6000003814697,-109.599975585938,22224,28.057,34.806,537.91315,0
21.6000003814697,-108.799987792969,22224,29.165,34.815002,468.64908,0
21.6000003814697,-108,22224,30.150002,34.899002,436.56323,0
21.6000003814697,-107.200012207031,22224,30.456001,34.791,403.89413,0
21.6000003814697,-106.400024414063,22224,30.187,34.683,706.8035,0
21.6000003814697,-105.599975585938,22224,29.117,34.222,1150.8748,0
22.3999996185303,-112,22224,26.156,34.433,396.56628,0
22.3999996185303,-111.200012207031,22224,26.205,34.383,555.20886,0
22.3999996185303,-110.400024414063,22224,26.753,35.422,1159.3385,0
22.3999996185303,-109.599975585938,22224,26.378,34.863,902.41364,0
22.3999996185303,-108.799987792969,22224,27.245,34.701,544.50916,0
22.3999996185303,-108,22224,27.096,34.885002,474.2051,0
22.3999996185303,-107.200012207031,22224,29.833,34.764,403.4467,0
22.3999996185303,-106.400024414063,22224,29.994,34.665,697.75116,0
23.2000007629395,-108.799987792969,22224,26.183,34.86,522.18634,0
23.2000007629395,-108,22224,29.703,34.979,520.1958,0
23.2000007629395,-107.200012207031,22224,29.874,34.751,480.877,0
24,-109.599975585938,22224,27.026001,35.314003,839.6386,0
24,-108.799987792969,22224,28.121,34.847,523.46594,0
24,-108,22224,30.288,34.738,572.48315,0
24,-107.200012207031,22224,29.084,34.693,850.1461,0
24.7999992370605,-110.400024414063,22224,27.436,35.105,1409.432,0
24.7999992370605,-109.599975585938,22224,28.569,35.119,630.02875,0
24.7999992370605,-108.799987792969,22224,29.278,34.858,519.1972,0
25.6000003814697,-110.400024414063,22224,27.944,35.273003,528.50134,0
25.6000003814697,-109.599975585938,22224,29.272,34.915,565.5136,0
26.3999996185303,-111.200012207031,22224,28.776001,35.464,961.324,0
26.3999996185303,-110.400024414063,22224,28.864,35.566,583.2384,0
26.3999996185303,-109.599975585938,22224,28.318,34.969,640.4046,0
27.2000007629395,-112,22224,28.398,35.245003,640.6382,0
27.2000007629395,-111.200012207031,22224,29.116001,35.118,493.59042,0
28,-112,22224,29.146,35.296,519.55566,0
28.7999992370605,-112.799987792969,22224,28.369,35.216,1223.3832,0
29.6000003814697,-113.599975585938,22224,28.164001,35.422,1117.6147,0
29.6000003814697,-112.799987792969,22224,28.192001,35.48,1084.4501,0
30.3999996185303,-114.400024414063,22224,28.429,35.502,878.569,0
30.3999996185303,-113.599975585938,22224,28.821,35.452,873.1079,0
20,-119.200012207031,22944,26.367,34.315002,123.16231,0
20,-118.400024414063,22944,26.834,34.238,109.71345,0
20,-117.599975585938,22944,27.043,34.279,87.94141,0
20,-116.799987792969,22944,27.57,34.234,89.37487,0
20,-116,22944,27.797,34.25,87.529816,0
20,-115.200012207031,22944,28.189,34.27,94.26797,0
20,-114.400024414063,22944,28.598,34.329002,79.704414,0
20,-113.599975585938,22944,28.756,34.384003,97.553024,0
20,-112.799987792969,22944,28.668,34.35,89.584114,0
20,-112,22944,28.986,34.389,92.61367,0
20,-111.200012207031,22944,29.281,34.464,89.897285,0
20,-110.400024414063,22944,29.663,34.551003,86.985146,0
20,-109.599975585938,22944,30.057,34.612,84.16983,0
20,-108.799987792969,22944,30.135,34.531002,101.45777,0
20,-108,22944,30.784,34.517002,76.56886,0
20,-107.200012207031,22944,31.621,34.606003,90.72638,0
20,-106.400024414063,22944,31.554,34.606003,79.57289,0
20,-105.599975585938,22944,30.926,34.436,83.379234,0
